ticker,period_type,report_period,report_year,report_quarter,indicator_code,indicator_name,value,unit,source
600031.SH,quarterly,20241231,2024,4,net_profit,净利润,1100,million_cny,seed
601689.SH,annual,20221231,2022,,revenue,营业收入,43000,million_cny,seed
601689.SH,annual,20221231,2022,,net_profit,净利润,4200,million_cny,seed
601689.SH,annual,20221231,2022,,operating_cash_flow,经营现金流,3600,million_cny,seed
601689.SH,annual,20221231,2022,,accounts_receivable,应收账款,4200,million_cny,seed
601689.SH,annual,20221231,2022,,inventory,存货,7000,million_cny,seed
601689.SH,annual,20221231,2022,,gross_margin,毛利率,22.5,pct,seed
601689.SH,annual,20221231,2022,,inventory_turnover,存货周转率,4.5,times,seed
601689.SH,annual,20221231,2022,,ar_turnover,应收账款周转率,7.2,times,seed
601689.SH,annual,20221231,2022,,debt_ratio,资产负债率,44,pct,seed
601689.SH,annual,20221231,2022,,expense_ratio,期间费用率,10.8,pct,seed
601689.SH,annual,20231231,2023,,revenue,营业收入,47000,million_cny,seed
601689.SH,annual,20231231,2023,,net_profit,净利润,3900,million_cny,seed
601689.SH,annual,20231231,2023,,operating_cash_flow,经营现金流,2500,million_cny,seed
601689.SH,annual,20231231,2023,,accounts_receivable,应收账款,4900,million_cny,seed
601689.SH,annual,20231231,2023,,inventory,存货,9800,million_cny,seed
601689.SH,annual,20231231,2023,,gross_margin,毛利率,20.4,pct,seed
601689.SH,annual,20231231,2023,,inventory_turnover,存货周转率,3.8,times,seed
601689.SH,annual,20231231,2023,,ar_turnover,应收账款周转率,6.6,times,seed
601689.SH,annual,20231231,2023,,debt_ratio,资产负债率,47,pct,seed
601689.SH,annual,20231231,2023,,expense_ratio,期间费用率,11.4,pct,seed
601689.SH,annual,20241231,2024,,revenue,营业收入,45500,million_cny,seed
601689.SH,annual,20241231,2024,,net_profit,净利润,2800,million_cny,seed
601689.SH,annual,20241231,2024,,operating_cash_flow,经营现金流,1300,million_cny,seed
601689.SH,annual,20241231,2024,,accounts_receivable,应收账款,5600,million_cny,seed
601689.SH,annual,20241231,2024,,inventory,存货,13500,million_cny,seed
601689.SH,annual,20241231,2024,,gross_margin,毛利率,18.2,pct,seed
601689.SH,annual,20241231,2024,,inventory_turnover,存货周转率,2.9,times,seed
601689.SH,annual,20241231,2024,,ar_turnover,应收账款周转率,5.9,times,seed
601689.SH,annual,20241231,2024,,debt_ratio,资产负债率,52,pct,seed
601689.SH,annual,20241231,2024,,expense_ratio,期间费用率,12.1,pct,seed
601689.SH,quarterly,20240331,2024,1,revenue,营业收入,10800,million_cny,seed
601689.SH,quarterly,20240630,2024,2,revenue,营业收入,11100,million_cny,seed
601689.SH,quarterly,20240930,2024,3,revenue,营业收入,11700,million_cny,seed
601689.SH,quarterly,20241231,2024,4,revenue,营业收入,11900,million_cny,seed
601689.SH,quarterly,20240331,2024,1,net_profit,净利润,550,million_cny,seed
601689.SH,quarterly,20240630,2024,2,net_profit,净利润,620,million_cny,seed
601689.SH,quarterly,20240930,2024,3,net_profit,净利润,700,million_cny,seed
601689.SH,quarterly,20241231,2024,4,net_profit,净利润,930,million_cny,seed
600309.SH,annual,20221231,2022,,revenue,营业收入,165000,million_cny,seed
600309.SH,annual,20221231,2022,,net_profit,净利润,16000,million_cny,seed
600309.SH,annual,20221231,2022,,operating_cash_flow,经营现金流,18000,million_cny,seed
600309.SH,annual,20221231,2022,,accounts_receivable,应收账款,9800,million_cny,seed
600309.SH,annual,20221231,2022,,inventory,存货,13800,million_cny,seed
600309.SH,annual,20221231,2022,,gross_margin,毛利率,19.8,pct,seed
600309.SH,annual,20221231,2022,,inventory_turnover,存货周转率,5.8,times,seed
600309.SH,annual,20221231,2022,,ar_turnover,应收账款周转率,10.5,times,seed
600309.SH,annual,20221231,2022,,debt_ratio,资产负债率,49,pct,seed
600309.SH,annual,20221231,2022,,expense_ratio,期间费用率,7.8,pct,seed
600309.SH,annual,20231231,2023,,revenue,营业收入,170000,million_cny,seed
600309.SH,annual,20231231,2023,,net_profit,净利润,15000,million_cny,seed
600309.SH,annual,20231231,2023,,operating_cash_flow,经营现金流,16200,million_cny,seed
600309.SH,annual,20231231,2023,,accounts_receivable,应收账款,10200,million_cny,seed
600309.SH,annual,20231231,2023,,inventory,存货,14500,million_cny,seed
600309.SH,annual,20231231,2023,,gross_margin,毛利率,18.9,pct,seed
600309.SH,annual,20231231,2023,,inventory_turnover,存货周转率,5.6,times,seed
600309.SH,annual,20231231,2023,,ar_turnover,应收账款周转率,10.1,times,seed
600309.SH,annual,20231231,2023,,debt_ratio,资产负债率,50,pct,seed
600309.SH,annual,20231231,2023,,expense_ratio,期间费用率,8.1,pct,seed
600309.SH,annual,20241231,2024,,revenue,营业收入,174000,million_cny,seed
600309.SH,annual,20241231,2024,,net_profit,净利润,14800,million_cny,seed
600309.SH,annual,20241231,2024,,operating_cash_flow,经营现金流,15500,million_cny,seed
600309.SH,annual,20241231,2024,,accounts_receivable,应收账款,10600,million_cny,seed
600309.SH,annual,20241231,2024,,inventory,存货,14900,million_cny,seed
600309.SH,annual,20241231,2024,,gross_margin,毛利率,18.3,pct,seed
600309.SH,annual,20241231,2024,,inventory_turnover,存货周转率,5.3,times,seed
600309.SH,annual,20241231,2024,,ar_turnover,应收账款周转率,9.9,times,seed
600309.SH,annual,20241231,2024,,debt_ratio,资产负债率,51,pct,seed
600309.SH,annual,20241231,2024,,expense_ratio,期间费用率,8.4,pct,seed
600309.SH,quarterly,20240331,2024,1,revenue,营业收入,41000,million_cny,seed
600309.SH,quarterly,20240630,2024,2,revenue,营业收入,43000,million_cny,seed
600309.SH,quarterly,20240930,2024,3,revenue,营业收入,44000,million_cny,seed
600309.SH,quarterly,20241231,2024,4,revenue,营业收入,46000,million_cny,seed
600309.SH,quarterly,20240331,2024,1,net_profit,净利润,3500,million_cny,seed
600309.SH,quarterly,20240630,2024,2,net_profit,净利润,3600,million_cny,seed
600309.SH,quarterly,20240930,2024,3,net_profit,净利润,3700,million_cny,seed
600309.SH,quarterly,20241231,2024,4,net_profit,净利润,4000,million_cny,seed
002475.SZ,annual,20221231,2022,,revenue,营业收入,180000,million_cny,seed
002475.SZ,annual,20221231,2022,,net_profit,净利润,11200,million_cny,seed
002475.SZ,annual,20221231,2022,,operating_cash_flow,经营现金流,9800,million_cny,seed
002475.SZ,annual,20221231,2022,,accounts_receivable,应收账款,20500,million_cny,seed
002475.SZ,annual,20221231,2022,,inventory,存货,16500,million_cny,seed
002475.SZ,annual,20221231,2022,,gross_margin,毛利率,12.8,pct,seed
002475.SZ,annual,20221231,2022,,inventory_turnover,存货周转率,6.4,times,seed
002475.SZ,annual,20221231,2022,,ar_turnover,应收账款周转率,8.0,times,seed
002475.SZ,annual,20221231,2022,,debt_ratio,资产负债率,54,pct,seed
002475.SZ,annual,20221231,2022,,expense_ratio,期间费用率,6.8,pct,seed
002475.SZ,annual,20231231,2023,,revenue,营业收入,201000,million_cny,seed
002475.SZ,annual,20231231,2023,,net_profit,净利润,12100,million_cny,seed
002475.SZ,annual,20231231,2023,,operating_cash_flow,经营现金流,10100,million_cny,seed
002475.SZ,annual,20231231,2023,,accounts_receivable,应收账款,22600,million_cny,seed
002475.SZ,annual,20231231,2023,,inventory,存货,17400,million_cny,seed
002475.SZ,annual,20231231,2023,,gross_margin,毛利率,12.3,pct,seed
002475.SZ,annual,20231231,2023,,inventory_turnover,存货周转率,6.1,times,seed
002475.SZ,annual,20231231,2023,,ar_turnover,应收账款周转率,7.6,times,seed
002475.SZ,annual,20231231,2023,,debt_ratio,资产负债率,55,pct,seed
002475.SZ,annual,20231231,2023,,expense_ratio,期间费用率,7.1,pct,seed
002475.SZ,annual,20241231,2024,,revenue,营业收入,216000,million_cny,seed
002475.SZ,annual,20241231,2024,,net_profit,净利润,12600,million_cny,seed
002475.SZ,annual,20241231,2024,,operating_cash_flow,经营现金流,9800,million_cny,seed
002475.SZ,annual,20241231,2024,,accounts_receivable,应收账款,24100,million_cny,seed
002475.SZ,annual,20241231,2024,,inventory,存货,18200,million_cny,seed
002475.SZ,annual,20241231,2024,,gross_margin,毛利率,11.9,pct,seed
002475.SZ,annual,20241231,2024,,inventory_turnover,存货周转率,5.9,times,seed
002475.SZ,annual,20241231,2024,,ar_turnover,应收账款周转率,7.3,times,seed
002475.SZ,annual,20241231,2024,,debt_ratio,资产负债率,56,pct,seed
002475.SZ,annual,20241231,2024,,expense_ratio,期间费用率,7.3,pct,seed
002475.SZ,quarterly,20240331,2024,1,revenue,营业收入,51000,million_cny,seed
002475.SZ,quarterly,20240630,2024,2,revenue,营业收入,53000,million_cny,seed
002475.SZ,quarterly,20240930,2024,3,revenue,营业收入,54000,million_cny,seed
002475.SZ,quarterly,20241231,2024,4,revenue,营业收入,58000,million_cny,seed
002475.SZ,quarterly,20240331,2024,1,net_profit,净利润,2800,million_cny,seed
002475.SZ,quarterly,20240630,2024,2,net_profit,净利润,3000,million_cny,seed
002475.SZ,quarterly,20240930,2024,3,net_profit,净利润,3200,million_cny,seed
002475.SZ,quarterly,20241231,2024,4,net_profit,净利润,3600,million_cny,seed
300124.SZ,annual,20221231,2022,,revenue,营业收入,24000,million_cny,seed
300124.SZ,annual,20221231,2022,,net_profit,净利润,3700,million_cny,seed
300124.SZ,annual,20221231,2022,,operating_cash_flow,经营现金流,3900,million_cny,seed
300124.SZ,annual,20221231,2022,,accounts_receivable,应收账款,3500,million_cny,seed
300124.SZ,annual,20221231,2022,,inventory,存货,4200,million_cny,seed
300124.SZ,annual,20221231,2022,,gross_margin,毛利率,34,pct,seed
300124.SZ,annual,20221231,2022,,inventory_turnover,存货周转率,5.6,times,seed
300124.SZ,annual,20221231,2022,,ar_turnover,应收账款周转率,8.6,times,seed
300124.SZ,annual,20221231,2022,,debt_ratio,资产负债率,38,pct,seed
300124.SZ,annual,20221231,2022,,expense_ratio,期间费用率,12.4,pct,seed
300124.SZ,annual,20231231,2023,,revenue,营业收入,27000,million_cny,seed
300124.SZ,annual,20231231,2023,,net_profit,净利润,4300,million_cny,seed
300124.SZ,annual,20231231,2023,,operating_cash_flow,经营现金流,4500,million_cny,seed
300124.SZ,annual,20231231,2023,,accounts_receivable,应收账款,3700,million_cny,seed
300124.SZ,annual,20231231,2023,,inventory,存货,4500,million_cny,seed
300124.SZ,annual,20231231,2023,,gross_margin,毛利率,33.6,pct,seed
300124.SZ,annual,20231231,2023,,inventory_turnover,存货周转率,5.8,times,seed
300124.SZ,annual,20231231,2023,,ar_turnover,应收账款周转率,8.9,times,seed
300124.SZ,annual,20231231,2023,,debt_ratio,资产负债率,37,pct,seed
300124.SZ,annual,20231231,2023,,expense_ratio,期间费用率,12.1,pct,seed
300124.SZ,annual,20241231,2024,,revenue,营业收入,30200,million_cny,seed
300124.SZ,annual,20241231,2024,,net_profit,净利润,4750,million_cny,seed
300124.SZ,annual,20241231,2024,,operating_cash_flow,经营现金流,5100,million_cny,seed
300124.SZ,annual,20241231,2024,,accounts_receivable,应收账款,3820,million_cny,seed
300124.SZ,annual,20241231,2024,,inventory,存货,4700,million_cny,seed
300124.SZ,annual,20241231,2024,,gross_margin,毛利率,33.1,pct,seed
300124.SZ,annual,20241231,2024,,inventory_turnover,存货周转率,5.9,times,seed
300124.SZ,annual,20241231,2024,,ar_turnover,应收账款周转率,9.1,times,seed
300124.SZ,annual,20241231,2024,,debt_ratio,资产负债率,36,pct,seed
300124.SZ,annual,20241231,2024,,expense_ratio,期间费用率,11.8,pct,seed
300124.SZ,quarterly,20240331,2024,1,revenue,营业收入,7300,million_cny,seed
300124.SZ,quarterly,20240630,2024,2,revenue,营业收入,7500,million_cny,seed
300124.SZ,quarterly,20240930,2024,3,revenue,营业收入,7600,million_cny,seed
300124.SZ,quarterly,20241231,2024,4,revenue,营业收入,7800,million_cny,seed
300124.SZ,quarterly,20240331,2024,1,net_profit,净利润,1100,million_cny,seed
300124.SZ,quarterly,20240630,2024,2,net_profit,净利润,1160,million_cny,seed
300124.SZ,quarterly,20240930,2024,3,net_profit,净利润,1210,million_cny,seed
300124.SZ,quarterly,20241231,2024,4,net_profit,净利润,1280,million_cny,seed
